replication_id,scenario_id,replication_seed,metric,N_value,S_value,F_value,S_minus_N,F_minus_S,F_minus_N
10,7c362520b9d279d5,707028829783831254,retail_order_bullwhip,2.9479965659179213,3.0267812948339494,2.7124758821847172,0.07878472891602817,-0.3143054126492322,-0.235520683733204
11,b3f61c340012ae31,2249076315507157767,retail_order_bullwhip,3.186371955308866,3.307191445223212,2.7421077393188473,0.12081948991434599,-0.5650837059043647,-0.44426421599001875
12,4d910d2eda1b7bc4,3215586943839124654,retail_order_bullwhip,3.086930226109753,3.4589722872051127,2.9887511233641897,0.37204206109535987,-0.47022116384092305,-0.09817910274556318
13,1de37aa7f125f9c2,7848416998020336102,retail_order_bullwhip,3.393024909159208,3.4051418087412935,3.127645988100409,0.012116899582085505,-0.2774958206408846,-0.2653789210587991
14,bb1e91a2811da9e7,12637917950436599476,retail_order_bullwhip,3.1338086964905534,3.36907616215287,2.8527683924424836,0.2352674656623166,-0.5163077697103864,-0.2810403040480698
15,9c0e7d005f95b886,12631696581790737570,retail_order_bullwhip,3.3157781821103938,3.64937050050372,3.077903971853988,0.33359231839332626,-0.571466528649732,-0.23787421025640576
16,2dde2186f7f297c8,15306973309152035735,retail_order_bullwhip,3.2160290759981742,3.241629714298221,2.6896838735613198,0.025600638300046885,-0.5519458407369013,-0.5263452024368545
17,7d27ea5a36015daa,11912966408235049794,retail_order_bullwhip,3.3278190576196205,3.5750342651877913,3.090028866807537,0.24721520756817084,-0.48500539838025425,-0.2377901908120834
18,450638d687f99e16,13662181571893650717,retail_order_bullwhip,3.3054739141652916,3.4325761993767565,3.112650938250403,0.12710228521146494,-0.31992526112635344,-0.1928229759148885
19,71dc83c60ef39a61,6716774480996898736,retail_order_bullwhip,3.36860159999554,3.6041168171700106,3.149433116239066,0.23551521717447077,-0.45468370093094457,-0.2191684837564738
20,f7d27eeb3e232b43,6074613405453781192,retail_order_bullwhip,3.3599985358440354,3.454449629339518,2.9938875470619832,0.09445109349548275,-0.4605620822775349,-0.36611098878205217
21,80cac39a6a93e25b,12656529146208048523,retail_order_bullwhip,3.0319331984582356,3.16537657241658,2.81819036108181,0.1334433739583445,-0.3471862113347699,-0.2137428373764254
